"externalId","courseSectionExternalId","classBeginningTime","classEndingTime","classMeetingDays","InstructionSiteName","InstructionSiteType"
"MS  087  PZ-01 FA2020133670","MS  087  PZ-01 FA2020","1245","1400","-M-W---","ONLI    ","OnCampus"
"MS  088  PZ-01 SP2020129211","MS  088  PZ-01 SP2020","1100","1215","--T-R--","WSTQ120","OnCampus"
"MS  092  PO-01 FA2020133691","MS  092  PO-01 FA2020","1245","1400","-M-W---","ONLIWEB ","OnCampus"
"MS  092  PO-01 SP2020128907","MS  092  PO-01 SP2020","1315","1430","-M-W---","CR02  ","OnCampus"
"MS  120  SC-01 FA2020133511","MS  120  SC-01 FA2020","1815","2100","---W---","ONLI    ","OnCampus"
"MS  121  PZ-01 SP2021139532","MS  121  PZ-01 SP2021","1430","1545","--T-R--","TBA    ","OnCampus"
"MS  131  SC-01 SP2020127733","MS  131  SC-01 SP2020","1000","1230","-M-W---","LA203 ","OnCampus"
"MS  149T PO-01 SP2020128911","MS  149T PO-01 SP2020","1315","1600","--T----","CR08  ","OnCampus"
"MS  149T PO-01 SP2021138729","MS  149T PO-01 SP2021","1100","1215","-M-W---","ONLISYNC","OnCampus"
"MS  159  SC-01 FA2020134243","MS  159  SC-01 FA2020","1000","1200","--T-R--","ONLI    ","OnCampus"
"MS  173  HM-01 SP2021136041","MS  173  HM-01 SP2021","730","845","--T-R--","ONLI    ","OnCampus"
"MS  175  PO-01 SP2021139343","MS  175  PO-01 SP2021","1430","1545","--T-R--","ONLISYNC","OnCampus"
"MS  190A JT-01 FA2020135238","MS  190A JT-01 FA2020","0","0","-------","ONLIWEB ","OnCampus"
"MSL 099  CM-01 FA2020132419","MSL 099  CM-01 FA2020","630","730","--T-RF-","ONLI    ","OnCampus"
"MSL 101A CM-01 FA2020135111","MSL 101A CM-01 FA2020","1300","1700","-----F-","ARR    ","OnCampus"
"MSL 101B CM-01 SP2020127382","MSL 101B CM-01 SP2020","900","950","-----F-","BC1   ","OnCampus"
"MSL 102A CM-01 FA2020132421","MSL 102A CM-01 FA2020","900","1145","-----F-","ONLI    ","OnCampus"
"MUS 003  SC-01 SU2020S5134849","MUS 003  SC-01 SU2020S5","1100","1230","-MTWRF-","ARR    ","OnCampus"
"MUS 020  PO-01 FA2020133272","MUS 020  PO-01 FA2020","0","0","-------","ONLIWEB ","OnCampus"
"MUS 046  HM-01 FA2020134094","MUS 046  HM-01 FA2020","1615","1800","--T----","SHANB480","OnCampus"
"MUS 049  HM-01 SP2020122300","MUS 049  HM-01 SP2020","1615","1800","--T----","SHANB446","OnCampus"
"MUS 067  HM-01 SP2021139389","MUS 067  HM-01 SP2021","1245","1530","-----F-","ONLI    ","OnCampus"
"MUS 092H SC-01 SP2021139310","MUS 092H SC-01 SP2021","0","0","-------","ONLI    ","OnCampus"
"MUS 096A PO-01 FA2020133288","MUS 096A PO-01 FA2020","1245","1400","-M-W---","ONLIWEB ","OnCampus"
"MUS 102  SC-01 SP2020127888","MUS 102  SC-01 SP2020","1315","1430","-M-W---","PAC118 ","OnCampus"
"MUS 121  SC-01 SP2020127897","MUS 121  SC-01 SP2020","935","1050","--T-R--","PAC118 ","OnCampus"
"MUS 130  SC-01 SP2020127906","MUS 130  SC-01 SP2020","1445","1730","--T----","PAC118 ","OnCampus"
"MUS 140  PO-01 SP2020128942","MUS 140  PO-01 SP2020","0","0","-------","ARRARR ","OnCampus"
"MUS 170F SC-02 SP2020129551","MUS 170F SC-02 SP2020","0","0","-M--R--","ARR    ","OnCampus"
"MUS 171F SC-02 FA2020133577","MUS 171F SC-02 FA2020","0","0","-------","ONLI    ","OnCampus"
"MUS 171F SC-02 SP2020129543","MUS 171F SC-02 SP2020","0","0","-------","ARR    ","OnCampus"
"MUS 171H SC-01 SP2020129549","MUS 171H SC-01 SP2020","0","0","-------","ARR    ","OnCampus"
"MUS 175  JM-01 SP2020127890","MUS 175  JM-01 SP2020","1930","2100","-M-W---","PACGARR","OnCampus"
"MUS 176  JM-01 SP2020127909","MUS 176  JM-01 SP2020","1615","1725","-M-W---","PAC129 ","OnCampus"
"MUS 177F SC-01 SP2020127904","MUS 177F SC-01 SP2020","0","0","-------","ARR    ","OnCampus"
"NEUR143  PO-01 SP2020128946","NEUR143  PO-01 SP2020","935","1050","--T-R--","LINC1125","OnCampus"
"NEUR148L KS-02 FA2020133704","NEUR148L KS-02 FA2020","915","1030","--T-R--","ONLI    ","OnCampus"
"NEUR189L KS-01 FA2020133830","NEUR189L KS-01 FA2020","0","0","-------","ONLI    ","OnCampus"
"NEUR194A PO-04 SP2021137090","NEUR194A PO-04 SP2021","0","0","-------","ONLIASYN","OnCampus"
"ORST103  PZ-01 SP2020127613","ORST103  PZ-01 SP2020","1445","1600","--T-R--","AV202 ","OnCampus"
"ORST103  PZ-01 SP2021139059","ORST103  PZ-01 SP2021","1430","1545","--T-R--","TBA    ","OnCampus"
"ORST110  PZ-01 SP2020129222","ORST110  PZ-01 SP2020","1800","2100","--T----","AV204 ","OnCampus"
