"calendarSessionExternalId","courseSectionExternalId"
"FA2020","ART 012  PZ-01 FA2020"
"SP2020","ART 015  PZ-01 SP2020"
"FA2020","ART 016  PZ-01 FA2020"
"FA2020","ART 017  PZ-01 FA2020"
"FA2020","ART 017  PZ-02 FA2020"
"SP2020","ART 021  PO-01 SP2020"
"FA2020","ART 021  PO-01 FA2020"
"FA2020","ART 021  PO-01 FA2020"
"FA2020","ART 021  PO-01 FA2020"
"FA2020","ART 021  PO-01 FA2020"
"FA2020","ART 021  PO-02 FA2020"
"FA2020","ART 021  PO-02 FA2020"
"FA2020","ART 021  PO-02 FA2020"
"FA2020","ART 021  PO-02 FA2020"
"SP2021","ART 021  PO-01 SP2021"
"SP2021","ART 021  PO-02 SP2021"
"SP2020","ART 022  PO-01 SP2020"
"SP2020","ART 022  PO-01 SP2020"
"SP2020","ART 022  PO-02 SP2020"
"SP2020","ART 022  PO-02 SP2020"
"SP2021","ART 025A PO-01 SP2021"
"FA2020","ART 028  PO-01 FA2020"
"FA2020","ART 028  PO-01 FA2020"
"FA2020","ART 028  PO-01 FA2020"
"FA2020","ART 028  PO-01 FA2020"
"SP2021","ART 028  PO-01 SP2021"
"SP2021","ART 028  PO-02 SP2021"
"FA2020","ART 030  PZ-01 FA2020"
"FA2020","ART 030  PZ-02 FA2020"
"SP2021","ART 030  PZ-01 SP2021"
"SP2021","ART 030  PZ-02 SP2021"
"SP2020","ART 033  HM-01 SP2020"
"SP2020","ART 060  HM-01 SP2020"
"FA2020","ART 060  HM-01 FA2020"
"SP2020","ART 101  SC-01 SP2020"
"SP2020","ART 105  SC-01 SP2020"
"FA2020","ART 105  SC-01 FA2020"
"SP2021","ART 105  SC-01 SP2021"
"SP2021","ART 105  SC-02 SP2021"
"FA2020","ART 105A PO-01 FA2020"
"SP2020","ART 111  PO-01 SP2020"
"SP2020","ART 111  PO-01 SP2020"
"SP2021","ART 111  PO-01 SP2021"
"SP2020","ART 113  PZ-01 SP2020"
"SU2020S1","ART 113  PZ-01 SU2020S1"
"SU2020S1","ART 113  PZ-01 SU2020S1"
"SP2020","ART 114  PO-01 SP2020"
"FA2020","ART 116  SC-01 FA2020"
"SP2021","ART 116  SC-01 SP2021"
"SP2020","ART 119  PZ-01 SP2020"
"SP2020","ART 120  SC-01 SP2020"
"SP2020","ART 120  SC-02 SP2020"
"SP2020","ART 121  SC-01 SP2020"
"FA2020","ART 121  SC-01 FA2020"
"FA2020","ART 121  SC-02 FA2020"
"SP2021","ART 121  SC-01 SP2021"
"SP2021","ART 121  SC-02 SP2021"
"SP2020","ART 122  SC-01 SP2020"
"SP2020","ART 126B PO-01 SP2020"
"FA2020","ART 128  PO-01 FA2020"
"FA2020","ART 128  PO-01 FA2020"
"FA2020","ART 128  PO-01 FA2020"
