"courseSectionExternalId","staffExternalId"
"CHEM110ALPO-03 FA2021","10044271"
"CHEM110B PO-01 SP2021","10032286"
"CHEM110B PO-03 SP2021","10087641"
"CHEM115 LPO-03 FA2020","10271196"
"CHEM115 LPO-01 FA2021","10248799"
"CHEM115 LPO-02 FA2021","10175474"
"CHEM116L KS-01 FA2021","20042124"
"CHEM116L KS-04 FA2021","20123323"
"CHEM116LXKS-05 FA2020","20264462"
"CHEM116LXKS-08 FA2020","20264462"
"CHEM117L KS-01 SP2020","20098539"
"CHEM117L KS-04 SP2020","20123323"
"CHEM117L KS-03 SP2021","20123323"
"CHEM127L KS-01 SP2021","20264770"
"CHEM140  KS-01 FA2021","20042229"
"CHEM151  HM-04 FA2020","40005336"
"CHEM151  HM-06 FA2020","40043655"
"CHEM151  HM-08 FA2021","40005484"
"CHEM151  HM-14 FA2021","40005404"
"CHEM152  HM-01 SP2020","40043655"
"CHEM152  HM-04 SP2020","40155078"
"CHEM152  HM-14 SP2020","40005404"
"CHEM152  HM-10 SP2021","40005358"
"CHEM152  HM-11 SP2021","40157041"
"CHEM162  PO-02 SP2021","10043357"
"CHEM174  PO-01 FA2020","10032286"
"CHEM182  HM-01 SP2021","40043655"
"CHEM187  HM-01 SU2021H2","40043655"
"CHEM188L KS-01 FA2020","20042221"
"CHEM191  PO-32 FA2020","10026608"
"CHEM191  PO-36 FA2020","10248799"
"CHEM191  PO-04 SP2021","10248799"
"CHEM191  PO-08 SP2021","10248799"
"CHEM191  PO-20 SP2021","10248799"
"CHEM191  PO-20 FA2021","10043446"
"CHEM191  PO-28 FA2021","10248799"
"CHEM194  PO-44 SP2020","10345516"
"CHEM194  PO-36 FA2020","10248799"
"CHEM194  PO-24 SP2021","10248799"
"CHEM194  PO-28 FA2021","10175474"
"CHEM194  PO-36 FA2021","10087224"
"CHIN001A PO-02 FA2020","10005875"
"CHIN001A PO-03 FA2020","10005875"
"CHIN001A PO-01 FA2021","10257427"
"CHIN001B PO-01 SP2020","10257427"
"CHIN001B PO-02 SP2020","10042729"
"CHIN051H PO-01 SP2020","10042729"
"CHIN127  PO-01 SP2020","10005875"
"CHLT060  CH-01 SP2021","50010724"
"CHNT164  PO-01 SP2021","10016388"
"CHNT168  PO-01 FA2021","10005875"
"CHST055  CH-01 SP2020","10041671"
"CHST120  CH-01 SP2021","20232550"
"CHST191  CH-04 SP2020","10123210"
"CHST191  CH-04 SP2020","20042153"
"CHST191  CH-24 SP2021","10086852"
"CHST192  CH-24 SP2020","10357925"
"CHST192  CH-12 SP2021","10304889"
"CHST192  CH-36 SP2021","10357925"
"CLAS114  PO-01 SP2021","10337469"
"CLAS191  SC-02 SP2020","20042164"
"COGS011  PZ-01 FA2021","50213736"
"CORE001  SC-07 FA2020","20182149"
"CORE001  SC-12 FA2021","20264677"
"CORE001  SC-15 FA2021","20042984"
"CORE002  SC-04 SP2020","20252259"
"CORE002  SC-13 SP2021","20256394"
"CORE003  SC-16 FA2020","20171378"
"CORE003  SC-06 FA2021","20179111"
"CREA025  PZ-01 FA2020","50010733"
"CSCI005  HM-02 SU2020S2","40005491"
"CSCI005  HM-02 SU2021H3","40005491"
"CSCI005L HM-04 FA2020","40005491"
"CSCI005L HM-02 FA2021","40005491"
"CSCI005L HM-03 FA2021","40005481"
"CSCI005L HM-04 FA2021","40043116"
"CSCI035  HM-01 SU2021H5","40005491"
"CSCI036  CM-01 SP2021","50085735"
"CSCI040  CM-01 FA2021","30366834"
"CSCI051A PO-01 SP2020","10337403"
"CSCI051ALPO-01 SP2020","10101654"
"CSCI051P PO-02 FA2021","10361322"
"CSCI051PLPO-01 SP2020","10089127"
"CSCI051PLPO-01 FA2020","10361491"
"CSCI051PLPO-04 FA2020","10361491"
"CSCI051PLPO-05 FA2020","10361322"
"CSCI051PLPO-05 FA2020","10361491"
"CSCI051PLPO-01 FA2021","10361322"
"CSCI051PLPO-02 FA2021","10089127"
"CSCI054  PO-02 SP2020","10346762"
"CSCI060  HM-01 FA2020","40164205"
"CSCI060  HM-01 SP2021","40164205"
"CSCI062  PO-01 FA2021","10180184"
"CSCI062 LPO-01 FA2020","10364363"
"CSCI070  HM-04 SP2020","40199068"
"CSCI070  HM-01 FA2020","40169278"
"CSCI070  HM-04 FA2021","40005497"
"CSCI070L HM-02 FA2020","40205186"
"CSCI105  HM-01 SP2020","40005481"
"CSCI105  HM-01 SP2020","40043116"
